id,dcp,rule_code,rule_type,part_number,section,development_group,development_sub_category,canonical_use_id,canonical_use_name,applies_to,applicable_zones
1,albury,1,Objective,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
2,albury,2,Objective,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
3,albury,3,Objective,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
4,albury,i,Control,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
5,albury,ii,Control,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
6,albury,iii,Control,5,5.2 TREE PRESERVATION ORDER,Tree Preservation,Tree Preservation Order,*,ALL DEVELOPMENT,*,
7,albury,1,Objective,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
8,albury,i,Control,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
9,albury,ii,Control,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
10,albury,iii,Control,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
11,albury,iv,Control,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
12,albury,v,Control,5,5.3 GUIDELINES FOR THE PROTECTION OF TREES DURING CONSTRUCTION,Tree Preservation,Guidelines For The Protection Of Trees During Construction,*,ALL DEVELOPMENT,*,
13,albury,1,Objective,5,5.4 SELECTION AND SITING OF TREES,Tree Preservation,Selection And Siting Of Trees,*,ALL DEVELOPMENT,*,
14,albury,2,Objective,5,5.4 SELECTION AND SITING OF TREES,Tree Preservation,Selection And Siting Of Trees,*,ALL DEVELOPMENT,*,
15,albury,3,Objective,5,5.4 SELECTION AND SITING OF TREES,Tree Preservation,Selection And Siting Of Trees,*,ALL DEVELOPMENT,*,
16,albury,4,Objective,5,5.4 SELECTION AND SITING OF TREES,Tree Preservation,Selection And Siting Of Trees,*,ALL DEVELOPMENT,*,
17,albury,i,Control,5,5.4 SELECTION AND SITING OF TREES,Tree Preservation,Selection And Siting Of Trees,*,ALL DEVELOPMENT,*,
18,albury,1,Objective,5,5.5 THE MURRAY RIVER,Tree Preservation,The Murray River,*,ALL DEVELOPMENT,*,
19,albury,i,Control,5,5.5 THE MURRAY RIVER,Tree Preservation,The Murray River,*,ALL DEVELOPMENT,*,
20,albury,ii,Control,5,5.5 THE MURRAY RIVER,Tree Preservation,The Murray River,*,ALL DEVELOPMENT,*,
21,albury,iii,Control,5,5.5 THE MURRAY RIVER,Tree Preservation,The Murray River,*,ALL DEVELOPMENT,*,
22,albury,iv,Control,5,5.5 THE MURRAY RIVER,Tree Preservation,The Murray River,*,ALL DEVELOPMENT,*,
23,albury,1,Objective,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
24,albury,2,Objective,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
25,albury,i,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
26,albury,ii,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
27,albury,iii,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
28,albury,iv,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
29,albury,v,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
30,albury,vi,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
31,albury,vii,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
32,albury,viii,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
33,albury,ix,Control,6,6.2.1 Flood Referral Areas,Planning for Hazards,Flooding,*,ALL DEVELOPMENT,*,
34,albury,1,Objective,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
35,albury,i,Control,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
36,albury,ii,Control,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
37,albury,iii,Control,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
38,albury,iv,Control,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
39,albury,v,Control,6,6.4 BUSHFIRE,Planning for Hazards,Bushfire,*,ALL DEVELOPMENT,*,
