id,dcp,rule_code,rule_type,part_number,section,development_group,development_sub_category,canonical_use_id,canonical_use_name,applies_to,applicable_zones
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,commercial_premises,Commercial Premises,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,retail_premises,Retail Premises,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,office_premises,Office Premises,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,residential_flat_building,Residential Flat Buildings,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,shop_top_housing,Shop Top Housing,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,hotel_motel,Hotel or Motel Accommodation,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,food_drink_premises,Food and Drink Premises,Centres,
997,bankstown,2.0,Control,A1,Figure 2: Key urban renewal and street tree programs as outlined in the Local AreaPlan,Precinct Controls,Centres,community_facility,Community Facilities,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,commercial_premises,Commercial Premises,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,retail_premises,Retail Premises,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,office_premises,Office Premises,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,residential_flat_building,Residential Flat Buildings,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,shop_top_housing,Shop Top Housing,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,hotel_motel,Hotel or Motel Accommodation,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,food_drink_premises,Food and Drink Premises,Centres,
1,bankstown,a,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,community_facility,Community Facilities,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,commercial_premises,Commercial Premises,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,retail_premises,Retail Premises,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,office_premises,Office Premises,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,residential_flat_building,Residential Flat Buildings,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,shop_top_housing,Shop Top Housing,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,hotel_motel,Hotel or Motel Accommodation,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,food_drink_premises,Food and Drink Premises,Centres,
2,bankstown,b,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,community_facility,Community Facilities,Centres,
3,bankstown,c,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,commercial_premises,Commercial Premises,Centres,
3,bankstown,c,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,retail_premises,Retail Premises,Centres,
3,bankstown,c,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,office_premises,Office Premises,Centres,
3,bankstown,c,Objective,A1,1.0 Desired character for the Bankstown CBD mixed use precincts,Precinct Controls,Centres,residential_flat_building,Residential Flat Buildings,Centres,
