rule_id,rule_code,rule_type,part_number,section,development_sub_category,canonical_use_id,canonical_use_name,applies_to
1,O.01,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
2,O.02,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
3,O.03,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
4,O.04,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
5,O.05,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
6,O.06,Objective,2,2.1 DESIGN IN CONTEXT,All Development,*,ALL DEVELOPMENT,*
7,C.01,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
8,C.02,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
9,C.03,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
10,C.04,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
11,C.05,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
12,C.06,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
13,C.07,Control,2,2.3 PRELIMINARY BUILDING ENVELOPE,All Development,*,ALL DEVELOPMENT,*
14,O.01,Objective,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
15,O.02,Objective,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
16,O.03,Objective,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
17,C.01,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
18,C.02,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
19,C.03,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
20,C.04,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
21,C.05,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
22,C.06,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
23,C.07,Control,2,2.4 BUILDING FORM AND MASSING,All Development,*,ALL DEVELOPMENT,*
24,O.01,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
25,O.02,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
26,O.03,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
27,O.04,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
28,O.05,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
29,O.06,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
30,O.07,Objective,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
31,C.01,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
32,C.02,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
33,C.03,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
34,C.04,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
35,C.05,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
36,C.06,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
37,C.07,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
38,C.08,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
39,C.09,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
40,C.10,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
41,C.11,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
42,C.12,Control,2,2.5 STREETSCAPE AND BUILDING ADDRESS,All Development,*,ALL DEVELOPMENT,*
43,O.01,Objective,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
44,O.02,Objective,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
45,O.03,Objective,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
46,C.01,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
47,C.02,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
48,C.03,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
49,C.04,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
50,C.05,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
51,C.06,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
52,C.07,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
53,C.08,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
54,C.09,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
55,C.10,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
56,C.11,Control,2,2.6 FENCES,All Development,*,ALL DEVELOPMENT,*
57,O.01,Objective,2,2.7 OPEN SPACE AND LANDSCAPE,All Development,*,ALL DEVELOPMENT,*
58,O.02,Objective,2,2.7 OPEN SPACE AND LANDSCAPE,All Development,*,ALL DEVELOPMENT,*
